placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes,marca,modelo,tipo,cor
CRM6C60,1754017201940,CAM083,1,-26.865227,-48.653064,2025-08-01 03:00:01,False,1,Yamaha,Fazer 250,moto,cinza
UVY8Q70,1754017208921,CAM005,1,-27.604633,-48.505553,2025-08-01 03:00:08,False,0,Ford,Ka,passeio,cinza
TIN6O28,1754017208927,CAM052,2,-26.887071,-49.027319,2025-08-01 03:00:08,False,1,Volkswagen,Virtus,passeio,branco
LTE7X41,1754017209009,CAM118,1,-27.77393,-50.29565,2025-08-01 03:00:09,False,1,Peugeot,2008,SUV,branco
YLZ2H76,1754017214074,CAM146,2,-26.456949,-49.074915,2025-08-01 03:00:14,False,2,Renault,Logan,passeio,cinza
DEX7A78,1754017222331,CAM083,1,-26.865227,-48.653064,2025-08-01 03:00:22,False,0,Ford,EcoSport,SUV,prata
LCF3P42,1754017227816,CAM020,1,-27.553275,-48.52113,2025-08-01 03:00:27,False,1,Chevrolet,Spin,SUV,cinza
MYV6K27,1754017228603,CAM188,2,-26.869967,-52.403691,2025-08-01 03:00:28,False,1,Volkswagen,Voyage,passeio,cinza
RJT5G59,1754017240775,CAM186,2,-26.884027,-52.384312,2025-08-01 03:00:40,False,0,Chevrolet,Tracker,SUV,prata
VGW8D36,1754017246395,CAM106,4,-28.65001,-49.327213,2025-08-01 03:00:46,False,1,Yamaha,XTZ 150,moto,preto
WCN1P54,1754017255608,CAM147,2,-26.452379,-49.057648,2025-08-01 03:00:55,False,2,Hyundai,Tucson,SUV,prata
BJO5N25,1754017261653,CAM016,2,-27.635108,-48.559986,2025-08-01 03:01:01,False,0,Volkswagen,Voyage,passeio,verde
NSL4M04,1754017273613,CAM172,1,-26.740646,-50.998373,2025-08-01 03:01:13,False,1,Chevrolet,S10,caminhão,prata
FFB4R88,1754017277426,CAM117,1,-27.854817,-50.339808,2025-08-01 03:01:17,False,2,Fiat,Mobi,passeio,preto
VNG0D91,1754017289743,CAM063,3,-27.098071,-52.583611,2025-08-01 03:01:29,False,0,Hyundai,Azera,passeio,preto
DTD7M76,1754017293764,CAM028,1,-26.318694,-48.851394,2025-08-01 03:01:33,False,2,Renault,Logan,passeio,preto
EQH9A90,1754017298555,CAM087,2,-26.941515,-48.70314,2025-08-01 03:01:38,False,3,Renault,Logan,passeio,cinza
XES1T77,1754017312498,CAM033,2,-26.326008,-48.822547,2025-08-01 03:01:52,False,3,Fiat,Uno,passeio,cinza
GYJ0S65,1754017322558,CAM152,1,-26.441575,-49.083999,2025-08-01 03:02:02,False,1,Ford,Fiesta,passeio,amarelo
NIS6Z34,1754017328968,CAM069,3,-27.06967,-52.652417,2025-08-01 03:02:08,False,2,Ford,EcoSport,SUV,azul
BAC3D19,1754017329074,CAM098,2,-27.605703,-48.611207,2025-08-01 03:02:09,False,1,Peugeot,208,passeio,preto
RCG5U74,1754017336436,CAM062,2,-27.106563,-52.574794,2025-08-01 03:02:16,False,2,Suzuki,Intruder 250,moto,cinza
VDW8N36,1754017339342,CAM103,2,-28.686408,-49.3607,2025-08-01 03:02:19,False,0,Hyundai,Creta,SUV,preto
FSD1K32,1754017348768,CAM082,3,-26.947242,-48.638292,2025-08-01 03:02:28,False,1,Volkswagen,T-Cross,SUV,preto
YZC4L64,1754017359653,CAM012,2,-27.639646,-48.531668,2025-08-01 03:02:39,False,0,Chevrolet,S10,caminhão,cinza
