placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes
FJY7I54,1754017200167,CAM095,1,-28.941527,-49.53719,2025-08-01 03:00:00,False,3
VYS2P54,1754017203855,CAM099,1,-28.514657,-48.811633,2025-08-01 03:00:03,False,0
JCE2T28,1754017205541,CAM020,4,-26.332262,-48.872393,2025-08-01 03:00:05,False,0
JXG6S09,1754017206115,CAM046,1,-27.579889,-48.655592,2025-08-01 03:00:06,False,1
FBA6G08,1754017207389,CAM046,1,-27.579889,-48.655592,2025-08-01 03:00:07,False,0
EWU8T78,1754017211307,CAM060,3,-27.811054,-50.344481,2025-08-01 03:00:11,False,0
WJS7L50,1754017215468,CAM044,1,-26.949201,-48.669619,2025-08-01 03:00:15,False,3
VRS1P85,1754017216858,CAM078,3,-27.063181,-48.898808,2025-08-01 03:00:16,False,0
YGW4D41,1754017220432,CAM017,2,-26.263496,-48.886535,2025-08-01 03:00:20,False,3
VRR3E90,1754017220631,CAM062,1,-27.78816,-50.284255,2025-08-01 03:00:20,False,1
MOU6L64,1754017221145,CAM014,3,-26.265889,-48.812223,2025-08-01 03:00:21,False,0
GHB3F04,1754017222773,CAM042,1,-26.906459,-48.654455,2025-08-01 03:00:22,False,0
DMH4D69,1754017232675,CAM055,2,-28.713808,-49.342112,2025-08-01 03:00:32,False,2
JDJ4Z12,1754017237645,CAM058,1,-27.840143,-50.316183,2025-08-01 03:00:37,False,0
TIJ9S60,1754017239917,CAM036,2,-27.067151,-52.61626,2025-08-01 03:00:39,False,0
ZMS0G79,1754017241053,CAM069,1,-26.958422,-48.596323,2025-08-01 03:00:41,False,3
VYH6H02,1754017242546,CAM014,2,-26.265889,-48.812223,2025-08-01 03:00:42,False,2
IKY6K27,1754017247776,CAM063,3,-27.687553,-48.68721,2025-08-01 03:00:47,False,1
ORU6M27,1754017248365,CAM100,1,-26.201103,-50.385585,2025-08-01 03:00:48,False,0
PMX9A35,1754017248895,CAM035,1,-27.072321,-52.590056,2025-08-01 03:00:48,False,0
OKU6B53,1754017260959,CAM044,1,-26.949201,-48.669619,2025-08-01 03:01:00,False,2
VCF2P38,1754017262130,CAM070,1,-27.008143,-48.663002,2025-08-01 03:01:02,False,1
PUR1V51,1754017264231,CAM024,2,-26.880835,-49.0316,2025-08-01 03:01:04,False,2
VVY4T86,1754017265406,CAM017,2,-26.263496,-48.886535,2025-08-01 03:01:05,False,1
OUC7O21,1754017268233,CAM026,3,-26.950283,-49.114261,2025-08-01 03:01:08,False,2
FEE3V62,1754017271637,CAM029,2,-26.950864,-49.070505,2025-08-01 03:01:11,False,0
MEM3D89,1754017273154,CAM044,1,-26.949201,-48.669619,2025-08-01 03:01:13,False,3
VUY9M64,1754017276278,CAM068,1,-26.961254,-48.666952,2025-08-01 03:01:16,False,2
LPN2C66,1754017285557,CAM008,1,-27.613203,-48.535995,2025-08-01 03:01:25,False,3
GTW3F63,1754017288455,CAM023,1,-26.873211,-49.109018,2025-08-01 03:01:28,False,2
KZJ0T89,1754017289099,CAM014,1,-26.265889,-48.812223,2025-08-01 03:01:29,False,0
XOA2C78,1754017289343,CAM039,2,-26.910126,-48.698347,2025-08-01 03:01:29,False,2
RRF4M72,1754017290727,CAM023,1,-26.873211,-49.109018,2025-08-01 03:01:30,False,1
MSR5D08,1754017294798,CAM084,2,-28.448288,-48.998988,2025-08-01 03:01:34,False,3
IQX9Q50,1754017299990,CAM100,2,-26.201103,-50.385585,2025-08-01 03:01:39,False,0
ALP4F50,1754017303666,CAM041,1,-26.919381,-48.656875,2025-08-01 03:01:43,False,2
MYW6P87,1754017308079,CAM009,1,-27.567243,-48.582885,2025-08-01 03:01:48,False,2
UAG2F48,1754017311495,CAM017,1,-26.263496,-48.886535,2025-08-01 03:01:51,False,2
DGU2Z52,1754017315593,CAM041,1,-26.919381,-48.656875,2025-08-01 03:01:55,False,3
TGN3K55,1754017320063,CAM072,1,-26.958775,-48.66775,2025-08-01 03:02:00,False,3
AWW7A54,1754017326529,CAM067,2,-27.630914,-48.708228,2025-08-01 03:02:06,False,2
SVA6C72,1754017327113,CAM043,3,-26.899172,-48.629892,2025-08-01 03:02:07,False,2
FNI2D16,1754017329798,CAM097,2,-27.173071,-49.643988,2025-08-01 03:02:09,False,2
BZK0O97,1754017331564,CAM077,1,-26.505803,-49.112575,2025-08-01 03:02:11,False,1
EJZ5K63,1754017332819,CAM017,1,-26.263496,-48.886535,2025-08-01 03:02:12,False,1
HUE2Y71,1754017340291,CAM047,2,-27.654619,-48.648046,2025-08-01 03:02:20,False,0
TCA0Q56,1754017344379,CAM065,2,-27.677998,-48.669561,2025-08-01 03:02:24,False,0
UXP8O92,1754017348948,CAM011,1,-27.589142,-48.533295,2025-08-01 03:02:28,False,3
YCR6D32,1754017355458,CAM041,1,-26.919381,-48.656875,2025-08-01 03:02:35,False,1
TGQ1F84,1754017356399,CAM099,1,-28.514657,-48.811633,2025-08-01 03:02:36,False,0
ODZ9Q89,1754017356883,CAM055,1,-28.713808,-49.342112,2025-08-01 03:02:36,False,1
INR1M88,1754017360480,CAM031,2,-27.131497,-52.592651,2025-08-01 03:02:40,False,1
WOJ4D06,1754017364171,CAM070,1,-27.008143,-48.663002,2025-08-01 03:02:44,False,0
QHC5O97,1754017364552,CAM008,1,-27.613203,-48.535995,2025-08-01 03:02:44,False,3
FGC8V61,1754017370075,CAM021,2,-26.276384,-48.856475,2025-08-01 03:02:50,False,0
WAN6D99,1754017377299,CAM010,1,-27.627345,-48.538823,2025-08-01 03:02:57,False,3
KTL9R57,1754017379298,CAM034,1,-27.060368,-52.575929,2025-08-01 03:02:59,False,2
QLH6Q60,1754017382502,CAM009,2,-27.567243,-48.582885,2025-08-01 03:03:02,False,1
OKC6W46,1754017383652,CAM047,2,-27.654619,-48.648046,2025-08-01 03:03:03,False,2
LNF5K72,1754017387373,CAM045,1,-27.649812,-48.673855,2025-08-01 03:03:07,False,0
EBO9M93,1754017388259,CAM020,3,-26.332262,-48.872393,2025-08-01 03:03:08,False,0
CEL6P58,1754017388824,CAM026,2,-26.950283,-49.114261,2025-08-01 03:03:08,False,1
FAW5H21,1754017389808,CAM003,2,-27.633247,-48.583532,2025-08-01 03:03:09,False,1
QVY0U81,1754017390053,CAM061,2,-27.823777,-50.309457,2025-08-01 03:03:10,False,0
ION6O34,1754017392438,CAM009,1,-27.567243,-48.582885,2025-08-01 03:03:12,False,0
HVZ4E79,1754017392739,CAM072,1,-26.958775,-48.66775,2025-08-01 03:03:12,False,1
PFW2A81,1754017393803,CAM024,2,-26.880835,-49.0316,2025-08-01 03:03:13,False,2
TSU8V78,1754017403675,CAM050,2,-27.646843,-48.649557,2025-08-01 03:03:23,False,3
VIY5H79,1754017405336,CAM011,1,-27.589142,-48.533295,2025-08-01 03:03:25,False,2
SNY6S90,1754017405413,CAM020,2,-26.332262,-48.872393,2025-08-01 03:03:25,False,0
CSO6N81,1754017405657,CAM058,2,-27.840143,-50.316183,2025-08-01 03:03:25,False,2
WNJ0A96,1754017405746,CAM057,3,-27.833275,-50.340235,2025-08-01 03:03:25,False,3
VJO8D14,1754017405848,CAM006,2,-27.580142,-48.559484,2025-08-01 03:03:25,False,1
FUW3A01,1754017414790,CAM036,1,-27.067151,-52.61626,2025-08-01 03:03:34,False,3
JVC5Y52,1754017417813,CAM008,1,-27.613203,-48.535995,2025-08-01 03:03:37,False,0
FBO7C57,1754017419419,CAM017,2,-26.263496,-48.886535,2025-08-01 03:03:39,False,1
