placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes,marca,modelo,tipo,cor
MVQ3B15,1754017202205,CAM036,3,-26.320871,-48.81729,2025-08-01 03:00:02,False,2,Hyundai,Azera,passeio,cinza
EFG4W64,1754017202794,CAM137,1,-26.97873,-48.610666,2025-08-01 03:00:02,False,1,Renault,Duster,SUV,cinza
BDT5O15,1754017202953,CAM002,4,-27.621874,-48.553642,2025-08-01 03:00:02,False,2,Suzuki,Yes 125,moto,azul
STU1X95,1754017203242,CAM145,1,-26.472789,-49.070191,2025-08-01 03:00:03,False,2,Ford,Ranger,caminhão,preto
MLT3Y84,1754017204330,CAM190,1,-28.907641,-49.455076,2025-08-01 03:00:04,False,1,Jeep,Commander,SUV,branco
MFD3B30,1754017205327,CAM183,1,-26.850207,-52.425759,2025-08-01 03:00:05,False,2,Peugeot,308,passeio,azul
GAD3J03,1754017205424,CAM084,1,-26.886583,-48.656276,2025-08-01 03:00:05,False,0,Hyundai,HB20,passeio,verde
BAJ3W45,1754017205636,CAM102,3,-28.683812,-49.399531,2025-08-01 03:00:05,True,3,Jeep,Renegade,SUV,marrom
MEX0P39,1754017206017,CAM132,1,-27.644014,-48.630495,2025-08-01 03:00:06,False,3,Volkswagen,Polo,passeio,preto
DBQ9Q29,1754017206109,CAM136,1,-27.02723,-48.590741,2025-08-01 03:00:06,False,3,Renault,Sandero,passeio,prata
MYY0G96,1754017210726,CAM124,1,-27.817704,-50.357711,2025-08-01 03:00:10,False,2,Honda,City,passeio,amarelo
FVD7W68,1754017211143,CAM014,3,-27.608198,-48.536828,2025-08-01 03:00:11,False,2,Fiat,Mobi,passeio,cinza
EWM6N14,1754017214935,CAM092,1,-27.629977,-48.61518,2025-08-01 03:00:14,False,2,Chevrolet,Spin,SUV,preto
UVW6R01,1754017216195,CAM091,1,-27.615081,-48.677695,2025-08-01 03:00:16,False,3,Honda,CG 160,moto,branco
VKV1M12,1754017216267,CAM126,1,-27.605195,-48.641829,2025-08-01 03:00:16,False,0,Volkswagen,Gol,passeio,prata
KUW2C79,1754017217744,CAM113,1,-27.837827,-50.314718,2025-08-01 03:00:17,False,0,Honda,CG 160,moto,prata
WJZ6Q26,1754017222581,CAM197,3,-28.481939,-48.782628,2025-08-01 03:00:22,False,2,Renault,Sandero,passeio,branco
UCD0C83,1754017224481,CAM132,1,-27.644014,-48.630495,2025-08-01 03:00:24,False,0,Honda,City,passeio,preto
XHM1C49,1754017228004,CAM056,3,-26.918646,-49.027384,2025-08-01 03:00:28,False,2,Toyota,SW4,SUV,branco
GFF8D79,1754017229355,CAM168,1,-28.47476,-49.050797,2025-08-01 03:00:29,False,2,Suzuki,Yes 125,moto,preto
WEF9J23,1754017229667,CAM131,1,-27.629418,-48.64674,2025-08-01 03:00:29,False,1,Renault,Kwid,passeio,branco
EJN0O01,1754017231247,CAM143,1,-27.022562,-48.665405,2025-08-01 03:00:31,False,1,Suzuki,Intruder 250,moto,cinza
OSA9A94,1754017233519,CAM087,1,-26.903989,-48.690852,2025-08-01 03:00:33,False,2,Jeep,Renegade,SUV,branco
PGU3H54,1754017234836,CAM094,1,-27.604944,-48.61979,2025-08-01 03:00:34,False,2,Hyundai,Creta,SUV,preto
DJY2D18,1754017235236,CAM122,2,-27.824718,-50.333473,2025-08-01 03:00:35,False,2,Jeep,Compass,SUV,preto
LAC6C59,1754017242220,CAM125,1,-27.674146,-48.665666,2025-08-01 03:00:42,False,3,Chevrolet,Prisma,passeio,prata
ILK6K45,1754017242431,CAM191,1,-28.902589,-49.503978,2025-08-01 03:00:42,False,1,Toyota,Etios,passeio,branco
KOS9Y92,1754017245160,CAM142,4,-27.034818,-48.619787,2025-08-01 03:00:45,False,3,Renault,Logan,passeio,marrom
FRE3F56,1754017251817,CAM047,2,-26.8729,-49.052994,2025-08-01 03:00:51,False,1,Toyota,SW4,SUV,branco
KDP1B55,1754017253590,CAM042,3,-26.266957,-48.809544,2025-08-01 03:00:53,False,2,Ford,Fusion,passeio,prata
TWZ9C14,1754017259776,CAM028,3,-26.319404,-48.866063,2025-08-01 03:00:59,False,3,Toyota,Corolla,passeio,branco
FFF2U77,1754017261748,CAM103,1,-28.650421,-49.365419,2025-08-01 03:01:01,False,3,Yamaha,Factor 125,moto,laranja
XUY5V81,1754017262019,CAM021,2,-27.633844,-48.582694,2025-08-01 03:01:02,False,0,Hyundai,Creta,SUV,preto
BAJ3W45,1754017270636,CAM001,3,-27.631717,-48.554237,2025-08-01 03:01:10,True,3,Jeep,Renegade,SUV,marrom
EBL5Y09,1754017270894,CAM061,1,-27.057861,-52.599345,2025-08-01 03:01:10,False,1,Ford,Ranger,caminhão,prata
WYU0E14,1754017271955,CAM090,1,-27.616384,-48.670803,2025-08-01 03:01:11,False,2,Chevrolet,Spin,SUV,cinza
SEH0N31,1754017274305,CAM049,1,-26.910477,-49.094497,2025-08-01 03:01:14,False,2,Ford,Fusion,passeio,vermelho
ZRS5W50,1754017278506,CAM065,1,-27.108968,-52.607821,2025-08-01 03:01:18,False,0,Peugeot,308,passeio,preto
ZRK9M19,1754017285266,CAM038,3,-26.283663,-48.863135,2025-08-01 03:01:25,False,2,Jeep,Renegade,SUV,cinza
SAK8R45,1754017285909,CAM157,1,-27.055136,-48.90721,2025-08-01 03:01:25,False,3,Ford,Ka,passeio,branco
BZJ7T51,1754017286938,CAM003,1,-27.59522,-48.577719,2025-08-01 03:01:26,False,1,Renault,Sandero,passeio,laranja
ZBV2Y05,1754017288688,CAM051,1,-26.920072,-49.067715,2025-08-01 03:01:28,False,0,Renault,Duster,SUV,cinza
CWM4J95,1754017290590,CAM185,2,-26.915769,-52.380753,2025-08-01 03:01:30,False,1,Jeep,Renegade,SUV,cinza
YRK5T48,1754017290868,CAM074,3,-27.119244,-52.581235,2025-08-01 03:01:30,False,0,Hyundai,HB20,passeio,cinza
OIQ8L68,1754017291688,CAM184,2,-26.865427,-52.423972,2025-08-01 03:01:31,False,1,Toyota,Yaris,passeio,branco
HLH7T67,1754017292144,CAM174,4,-26.76363,-50.974997,2025-08-01 03:01:32,False,1,Jeep,Compass,SUV,branco
ZKY0L84,1754017294113,CAM010,1,-27.586721,-48.561932,2025-08-01 03:01:34,False,0,Renault,Kwid,passeio,branco
DVK4C99,1754017294467,CAM138,2,-27.030037,-48.662692,2025-08-01 03:01:34,False,2,Peugeot,308,passeio,preto
QXU2D47,1754017294825,CAM029,4,-26.287583,-48.832416,2025-08-01 03:01:34,False,2,Yamaha,Fazer 250,moto,cinza
YQF9V36,1754017297745,CAM037,2,-26.327673,-48.890327,2025-08-01 03:01:37,False,1,Hyundai,HB20,passeio,cinza
PPU6N13,1754017298149,CAM109,1,-28.681567,-49.375821,2025-08-01 03:01:38,False,3,Jeep,Compass,SUV,preto
AUX4W47,1754017300340,CAM004,2,-27.627122,-48.57124,2025-08-01 03:01:40,False,3,Renault,Logan,passeio,cinza
YZM7B90,1754017300863,CAM070,2,-27.062473,-52.60784,2025-08-01 03:01:40,False,3,Jeep,Compass,SUV,preto
IZF9E04,1754017302411,CAM182,1,-27.255499,-52.001583,2025-08-01 03:01:42,False,3,Fiat,Toro,utilitário,prata
BEL5T70,1754017302670,CAM124,2,-27.817704,-50.357711,2025-08-01 03:01:42,False,0,Chevrolet,Prisma,passeio,preto
TBT8C45,1754017303074,CAM152,2,-26.448632,-49.100755,2025-08-01 03:01:43,False,0,Peugeot,2008,SUV,preto
POF9C95,1754017304053,CAM009,1,-27.616668,-48.584218,2025-08-01 03:01:44,False,3,Jeep,Renegade,SUV,branco
